"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"[The key used by the game to find strings]","[Not loaded into the game, for explanation only]","[The displayed string in-game]","[Alternate displayed string, eg. Nickname]","[For lists]","[Does this require a suffix for naming?]","[Miscellaneous]"
"— ","— ","— ","— ","— ","— ","— "
"2cc82195-f2d5-40e6-8ac8-397a5605f8ec",,"<b>|object.location.company.name|</b>\r\nSCHEDULE OF LIFE POLICIES IN FORCE\r\nBRANCH COPY - DO NOT REMOVE",,,,"ContentRemix"
"84ebb160-1c65-408f-b05c-5ec3a219cb79",,"The following policies are recorded against this branch. Sums are stated in dollars and are payable to the named beneficiary on proof of death.\r\n\r\n",,,,"ContentRemix"
"e93a4131-3cce-4a03-855a-4ee8d033b99c",,"<b>POLICY WL-|customscope_policyholder1.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder1.fullname|\r\nBORN  . . . . . |customscope_policyholder1.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder1.home.name|, |customscope_policyholder1.home.street|\r\nOCCUPATION  . . |customscope_policyholder1.job.title|\r\nSUM INSURED . . $|customscope_policyholder1.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder1.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder1.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder1.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"17fa83c5-221b-4f52-a845-ee0c24595189",,"<b>POLICY WL-|customscope_policyholder2.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder2.fullname|\r\nBORN  . . . . . |customscope_policyholder2.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder2.home.name|, |customscope_policyholder2.home.street|\r\nOCCUPATION  . . |customscope_policyholder2.job.title|\r\nSUM INSURED . . $|customscope_policyholder2.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder2.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder2.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder2.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"4ff3b495-8193-402c-b616-94972b29508a",,"<b>POLICY WL-|customscope_policyholder3.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder3.fullname|\r\nBORN  . . . . . |customscope_policyholder3.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder3.home.name|, |customscope_policyholder3.home.street|\r\nOCCUPATION  . . |customscope_policyholder3.job.title|\r\nSUM INSURED . . $|customscope_policyholder3.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder3.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder3.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder3.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"b5c24556-61f3-4f20-a982-9a338871412c",,"<b>POLICY WL-|customscope_policyholder4.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder4.fullname|\r\nBORN  . . . . . |customscope_policyholder4.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder4.home.name|, |customscope_policyholder4.home.street|\r\nOCCUPATION  . . |customscope_policyholder4.job.title|\r\nSUM INSURED . . $|customscope_policyholder4.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder4.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder4.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder4.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"79abbe90-73c6-4d31-8e0a-c07afed5f7ab",,"<b>POLICY WL-|customscope_policyholder5.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder5.fullname|\r\nBORN  . . . . . |customscope_policyholder5.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder5.home.name|, |customscope_policyholder5.home.street|\r\nOCCUPATION  . . |customscope_policyholder5.job.title|\r\nSUM INSURED . . $|customscope_policyholder5.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder5.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder5.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder5.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"5d24bafe-ad99-49cc-8d44-79884932fecb",,"<b>POLICY WL-|customscope_policyholder6.custom_policynumber|</b>\r\nINSURED . . . . |customscope_policyholder6.fullname|\r\nBORN  . . . . . |customscope_policyholder6.dateofbirth|\r\nRESIDENCE . . . |customscope_policyholder6.home.name|, |customscope_policyholder6.home.street|\r\nOCCUPATION  . . |customscope_policyholder6.job.title|\r\nSUM INSURED . . $|customscope_policyholder6.custom_policyvalue|\r\nPREMIUM P.A.  . $|customscope_policyholder6.custom_policypremium|\r\nBENEFICIARY . . |customscope_policyholder6.custom_policybeneficiary|\r\nSTATUS  . . . . |customscope_policyholder6.custom_policystatus|\r\n\r\n",,,,"ContentRemix"
"17ca5787-b3fb-4955-8a68-b1f2271e268d",,"\r\nEND OF SCHEDULE. Certified correct by the branch underwriter.",,,,"ContentRemix"
